@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R2-37,39-55,57-72,75-76,79-85,87,89-106,108-186'

@attribute color_bgr_b_mean numeric
@attribute color_lab_a_intensity1 numeric
@attribute color_luv_u_centroid numeric
@attribute color_norm_b_mean numeric
@attribute color_norm_g_mean numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_g_intensity1 numeric
@attribute color_norm_b_intensity2 numeric
@attribute haralick_bgr_r_contrast numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.332181,0.079365,-0.051282,-0.038536,0.511115,-0.993596,-0.99682,0.515789,-0.494071,-0.982641,NON_ULCER
-0.110567,0.142857,-0.025641,0.07709,0.46006,-0.996537,-0.998619,0.494737,-0.43083,-0.988824,NON_ULCER
-0.332261,0.079365,-0.025641,-0.055852,0.514703,-0.995623,-0.998014,0.536842,-0.494071,-0.988171,NON_ULCER
-0.377313,0.142857,0,-0.044018,0.449479,-0.987934,-0.990596,0.473684,-0.422925,-0.904597,NON_ULCER
-0.296507,-0.238095,-0.384615,0.17527,0.533964,-0.982069,-0.982894,0.578947,-0.359684,-0.573701,ULCER
-0.246885,-0.174603,-0.179487,0.092065,0.497704,-0.972553,-0.975421,0.494737,-0.375494,-0.677911,ULCER
-0.305594,0.079365,-0.102564,0.042913,0.4679,-0.994632,-0.994993,0.473684,-0.454545,-0.94434,ULCER
-0.214121,-0.015873,-0.128205,0.11494,0.45524,-0.976951,-0.990557,0.410526,-0.407115,-0.856932,ULCER
-0.318285,0.047619,-0.102564,0.081781,0.411292,-0.973204,-0.990846,0.410526,-0.422925,-0.832365,ULCER
0.013843,-0.301587,-0.512821,0.258422,0.616621,-0.997656,-0.999036,0.642105,-0.343874,-0.753852,ULCER
-0.165616,-0.301587,-0.487179,0.232423,0.604198,-0.996205,-0.997178,0.621053,-0.351779,-0.862295,ULCER
-0.038942,-0.047619,-0.179487,0.139576,0.531877,-0.99612,-0.993411,0.557895,-0.383399,-0.820866,ULCER
0.066355,-0.333333,-0.512821,0.257503,0.631782,-0.994784,-0.998448,0.663158,-0.343874,-0.712615,ULCER
-0.297686,-0.079365,-0.25641,0.133382,0.487773,-0.98923,-0.996221,0.494737,-0.399209,-0.857229,ULCER
0.261364,-0.047619,-0.102564,0.143158,0.545938,-0.990816,-0.997151,0.578947,-0.399209,-0.886461,ULCER
-0.151696,-0.111111,-0.205128,0.102162,0.530783,-0.983331,-0.989249,0.578947,-0.407115,-0.839141,ULCER
0.259143,-0.206349,-0.384615,0.221218,0.608336,-0.995284,-0.996704,0.642105,-0.359684,-0.725512,ULCER
0.304762,-0.333333,-0.512821,0.271207,0.641382,-0.998238,-0.998608,0.663158,-0.335968,-0.885117,ULCER
0.028775,-0.174603,-0.307692,0.169365,0.57502,-0.986299,-0.990225,0.6,-0.375494,-0.478771,ULCER
-0.291354,-0.015873,-0.153846,0.087921,0.46622,-0.988444,-0.992707,0.494737,-0.44664,-0.899439,ULCER
0.084426,0.015873,-0.153846,0.133953,0.542985,-0.993541,-0.996081,0.557895,-0.407115,-0.933342,ULCER
-0.023194,-0.174603,-0.410256,0.22272,0.571609,-0.992305,-0.996375,0.6,-0.367589,-0.831026,ULCER
0.23575,-0.269841,-0.435897,0.238511,0.619939,-0.998378,-0.997783,0.642105,-0.343874,-0.861333,ULCER
-0.054957,-0.206349,-0.384615,0.196017,0.595665,-0.997372,-0.990571,0.621053,-0.343874,-0.871809,ULCER
0.212613,-0.333333,-0.461538,0.242359,0.633015,-0.995838,-0.99819,0.663158,-0.351779,-0.868855,ULCER
-0.347431,-0.079365,-0.179487,0.037817,0.495122,-0.980136,-0.979291,0.536842,-0.438735,-0.646443,ULCER
0.227894,-0.238095,-0.358974,0.199248,0.621193,-0.997784,-0.999102,0.642105,-0.375494,-0.877042,ULCER
0.030122,-0.015873,-0.076923,0.135168,0.507828,-0.973152,-0.982585,0.452632,-0.391304,-0.707909,ULCER
-0.158898,0.079365,0.128205,0.053331,0.394081,-0.978231,-0.993414,0.452632,-0.44664,-0.867372,ULCER
-0.233528,-0.047619,-0.153846,0.095336,0.483917,-0.977127,-0.982664,0.536842,-0.43083,-0.758917,ULCER
-0.140852,0.079365,-0.102564,0.096689,0.480452,-0.994416,-0.997761,0.494737,-0.41502,-0.885928,ULCER
0.000504,-0.111111,-0.25641,0.169738,0.545416,-0.987651,-0.992734,0.557895,-0.383399,-0.753025,ULCER
-0.222623,0.079365,0,0.047017,0.433831,-0.96267,-0.987872,0.494737,-0.44664,-0.914655,ULCER
-0.229192,-0.206349,-0.358974,0.173978,0.542061,-0.989881,-0.995899,0.578947,-0.383399,-0.539053,ULCER
-0.22665,-0.015873,-0.153846,0.091509,0.488955,-0.987991,-0.995224,0.515789,-0.422925,-0.843459,ULCER
-0.006083,-0.047619,-0.179487,0.138595,0.529892,-0.994603,-0.998009,0.536842,-0.399209,-0.795704,ULCER
-0.101266,-0.142857,-0.230769,0.097226,0.573561,-0.992291,-0.995063,0.6,-0.41502,-0.679613,ULCER
-0.206372,0.142857,-0.025641,0.091023,0.408916,-0.986537,-0.99365,0.452632,-0.41502,-0.873353,ULCER
-0.363284,-0.206349,-0.333333,0.143815,0.490232,-0.971517,-0.97697,0.473684,-0.383399,-0.280703,ULCER
0.021241,-0.206349,-0.358974,0.181525,0.584809,-0.9973,-0.995562,0.6,-0.375494,-0.620805,ULCER
-0.312664,0.269841,0.102564,0.044284,0.312222,-0.98159,-0.996935,0.368421,-0.44664,-0.959294,NON_ULCER
-0.736475,0.52381,0.230769,-0.265759,-0.127389,-0.9396,-0.975647,-0.115789,-0.581028,-0.990305,NON_ULCER
-0.646857,0.555556,0.307692,-0.181769,-0.0467,-0.978286,-0.982471,0.010526,-0.549407,-0.988297,NON_ULCER
-0.418054,0.460317,0.153846,0.030724,0.173844,-0.983535,-0.994693,0.178947,-0.44664,-0.973412,NON_ULCER
-0.157956,-0.015873,-0.076923,-0.003462,0.569729,-0.994066,-0.994391,0.578947,-0.462451,-0.824621,NON_ULCER
-0.526161,0.492063,0.230769,-0.059931,0.101246,-0.99393,-0.997296,0.136842,-0.494071,-0.991562,NON_ULCER
-0.292548,0.174603,0,0.031627,0.423706,-0.987803,-0.996947,0.431579,-0.44664,-0.97689,NON_ULCER
-0.660574,0.52381,0.282051,-0.167466,-0.043326,-0.980091,-0.989904,-0.031579,-0.533597,-0.992558,NON_ULCER
-0.529097,0.492063,0.205128,-0.040563,0.078657,-0.991162,-0.995966,0.115789,-0.478261,-0.990939,NON_ULCER
-0.468119,0.460317,0.230769,-0.042185,0.170416,-0.994304,-0.996926,0.2,-0.486166,-0.977351,NON_ULCER
